body type,Brand,model,modelYear,price,Kms Driven,Fuel Type,Transmission,Max Power,Torque,Mileage,Engine,ownerNo,Insurance Validity,Seats,City
Hatchback,Maruti,Maruti Baleno,2017,6.92,56997,Petrol,Manual,83.0,115.0,21.4,1197,1,Zero Dep,5,Bangalore
Sedan,Hyundai,Hyundai Elantra,2013,6.5,120000,Petrol,Manual,147.0,177.0,16.3,1797,1,Third Party insurance,5,Bangalore
Sedan,Audi,Audi A6,2015,20.9,59000,Diesel,Automatic,187.0,400.0,18.53,1968,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Alto 800,2021,4.11,18835,Petrol,Manual,47.0,69.0,22.05,796,1,Zero Dep,5,Bangalore
SUV,Mahindra,Mahindra Scorpio,2010,6.5,120000,Diesel,Manual,120.0,290.0,12.05,2179,2,Third Party insurance,7,Bangalore
Hatchback,Mini,Mini 3 DOOR,2016,36.75,40000,Petrol,Automatic,189.0,280.0,17.33,1998,1,Comprehensive,4,Bangalore
Hatchback,Tata,Tata Tiago,2019,6.1,60932,Petrol,Manual,83.0,114.0,23.84,1199,1,Comprehensive,5,Bangalore
SUV,Kia,Kia Seltos,2020,16.75,33539,Petrol,Automatic,138.0,242.0,16.5,1353,2,Comprehensive,5,Bangalore
Hatchback,Tata,Tata Tiago,2018,5.3,66837,Petrol,Manual,84.0,114.0,23.84,1199,2,Comprehensive,5,Bangalore
Sedan,Mercedes-Benz,Mercedes-Benz E-Class,2022,79.9,400,Diesel,Automatic,281.0,600.0,19.24556842105263,2925,1,Third Party,5,Bangalore
Hatchback,Maruti,Maruti Alto,2008,2.5,60000,Petrol,Manual,46.0,62.0,19.7,796,2,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2019,7.15,44285,Petrol,Manual,81.0,117.0,18.6,1197,1,Third Party insurance,5,Bangalore
SUV,Mercedes-Benz,Mercedes-Benz GL-Class,2014,35.0,100000,Diesel,Automatic,254.0,619.0,11.3,2987,2,Third Party insurance,7,Bangalore
SUV,Tata,Tata New Safari,2021,22.5,25000,Diesel,Automatic,167.0,350.0,14.08,1956,1,Comprehensive,6,Bangalore
Hatchback,Hyundai,Hyundai Grand i10,2018,6.25,36735,Petrol,Manual,81.0,113.0,18.9,1197,1,Comprehensive,5,Bangalore
SUV,Audi,Audi Q7,2015,26.95,79000,Diesel,Automatic,241.0,550.0,12.07,2967,1,Comprehensive,7,Bangalore
SUV,Mahindra,Mahindra Scorpio,2010,6.5,120000,Diesel,Manual,120.0,290.0,12.05,2179,2,Third Party insurance,8,Bangalore
Hatchback,Renault,Renault KWID,2022,5.5,10000,Petrol,Automatic,67.0,91.0,22.0,999,1,Third Party insurance,5,Bangalore
SUV,Tata,Tata Nexon,2018,8.25,53645,Diesel,Manual,108.0,260.0,21.5,1497,1,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai Getz,2006,2.2,100000,Petrol,Manual,83.0,115.0,15.3,1341,2,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Celerio,2014,4.28,53982,Petrol,Automatic,65.0,89.0,26.68,998,1,Comprehensive,5,Bangalore
Sedan,Skoda,Skoda Rapid,2014,6.95,110000,Diesel,Manual,103.0,250.0,21.14,1498,1,Third Party insurance,5,Bangalore
SUV,Ford,Ford Ecosport,2019,9.3,37741,Petrol,Manual,120.0,149.0,15.9,1496,2,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Alto 800,2021,4.55,17367,Petrol,Manual,47.0,69.0,22.05,796,1,Comprehensive,5,Bangalore
SUV,Hyundai,Hyundai Creta,2017,11.95,94000,Diesel,Manual,126.0,259.0,19.67,1582,1,Comprehensive,5,Bangalore
SUV,Tata,Tata Harrier,2021,21.75,33700,Diesel,Automatic,167.0,350.0,14.6,1956,1,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Swift,2014,4.42,54601,Petrol,Manual,88.0,113.0,22.38,1197,3,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Swift,2018,6.9,110000,Diesel,Manual,74.0,190.0,28.4,1248,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Celerio,2017,5.0,64000,Petrol,Manual,67.0,90.0,23.1,998,2,Third Party,5,Bangalore
Sedan,BMW,BMW 3 Series GT,2016,33.95,40525,Diesel,Automatic,188.0,400.0,21.76,1995,1,Comprehensive,5,Bangalore
Sedan,Maruti,Maruti Ciaz,2015,6.5,100000,Diesel,Manual,88.0,200.0,26.21,1248,1,Third Party insurance,5,Bangalore
Hatchback,Honda,Honda Jazz,2016,5.37,44154,Petrol,Automatic,88.0,110.0,19.0,1199,2,Comprehensive,5,Bangalore
MUV,Renault,Renault Lodgy,2016,7.5,70000,Diesel,Manual,108.0,245.0,19.98,1461,1,Third Party insurance,7,Bangalore
Sedan,Skoda,Skoda Octavia,2018,17.9,79000,Petrol,Automatic,178.0,250.0,15.1,1798,1,Comprehensive,5,Bangalore
Hatchback,Tata,Tata Tiago,2017,4.68,68039,Petrol,Manual,84.0,114.0,23.84,1199,2,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Ritz,2014,4.2,60000,Petrol,Manual,85.0,114.0,18.5,1197,2,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Ritz,2014,4.2,60000,Petrol,Manual,85.0,114.0,18.5,1197,2,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2021,9.2,10000,Petrol,Manual,118.0,171.0,20.0,998,1,Third Party insurance,5,Bangalore
Sedan,Honda,Honda City,2013,5.33,49873,Petrol,Manual,116.0,146.0,16.8,1497,1,Third Party,5,Bangalore
Hatchback,Volkswagen,Volkswagen Polo,2013,8.5,90000,Petrol,Automatic,103.0,175.0,17.2,1197,3,Third Party insurance,5,Bangalore
Sedan,Skoda,Skoda Rapid,2017,7.51,48960,Diesel,Manual,108.0,250.0,21.13,1498,2,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai Grand i10,2014,3.88,70000,Diesel,Manual,70.0,160.0,24.0,1120,2,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2013,4.9,68000,Petrol,Manual,82.0,113.0,18.5,1197,2,Comprehensive,5,Bangalore
