body type,Brand,model,modelYear,price,Kms Driven,Fuel Type,Transmission,Max Power,Torque,Mileage,Engine,ownerNo,Insurance Validity,Seats,City
SUV,Mercedes-Benz,Mercedes-Benz GLE,2018,70.0,30000,Petrol,Automatic,384.0,520.0,8.9,2996,1,Third Party insurance,5,Bangalore
Hatchback,Tata,Tata Indica V2,2015,1.95,120000,Diesel,Manual,48.0,85.0,17.88,1405,3,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2018,7.99,21280,Petrol,Manual,81.0,114.0,18.6,1197,1,Comprehensive,5,Bangalore
SUV,Ford,Ford Ecosport,2017,6.89,82021,Petrol,Automatic,110.0,140.0,15.63,1499,1,Zero Dep,5,Bangalore
SUV,Tata,Tata Nexon,2023,10.68,18998,Petrol,Manual,118.0,170.0,17.33,1199,1,Third Party,5,Bangalore
SUV,Jeep,Jeep Compass,2018,17.99,56189,Diesel,Manual,170.0,350.0,16.3,1956,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti S-Presso,2020,3.83,57644,Petrol,Manual,65.0,89.0,21.7,998,2,Third Party,5,Bangalore
Hatchback,Maruti,Maruti Alto 800,2018,3.27,51286,Petrol,Manual,47.0,69.0,24.7,796,2,Comprehensive,5,Bangalore
SUV,Mahindra,Mahindra Quanto,2012,1.95,120000,Diesel,Manual,100.0,240.0,17.21,1493,1,Third Party insurance,7,Bangalore
Hatchback,Hyundai,Hyundai Grand i10 Nios,2019,6.39,27937,Petrol,Manual,81.0,113.0,20.7,1197,1,Third Party insurance,5,Bangalore
SUV,Renault,Renault Duster,2013,5.75,64000,Diesel,Manual,83.0,200.0,20.45,1461,2,Comprehensive,5,Bangalore
SUV,Ford,Ford Ecosport,2017,6.6,40031,Petrol,Manual,110.0,140.0,15.85,1499,2,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Alto 800,2017,3.25,47619,Petrol,Manual,47.0,69.0,22.05,796,2,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2009,2.25,90000,Petrol,Manual,80.0,11.0,17.0,1197,5,Third Party insurance,5,Bangalore
SUV,Toyota,Toyota Urban cruiser,2022,10.75,20000,Petrol,Automatic,103.0,138.0,18.76,1462,1,Third Party insurance,5,Bangalore
SUV,Toyota,Toyota Urban cruiser,2022,9.75,20000,Petrol,Manual,103.0,138.0,17.03,1462,1,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai i10,2010,3.0,70000,Petrol,Manual,78.0,111.0,20.36,1197,3,Third Party insurance,5,Bangalore
Sedan,Maruti,Maruti SX4,2011,2.9,110000,Diesel,Manual,88.0,200.0,21.5,1248,3,Third Party insurance,5,Bangalore
Hatchback,Honda,Honda Brio,2012,2.6,40000,Petrol,Manual,86.0,109.0,19.4,1198,3,Third Party insurance,5,Bangalore
Sedan,Nissan,Nissan Sunny,2012,3.6,100000,Diesel,Manual,84.0,200.0,21.64,1461,3,Third Party insurance,5,Bangalore
SUV,BMW,BMW X3,2013,15.0,10000,Diesel,Automatic,218.0,25.0,16.55,1995,4,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai EON,2017,2.5,60000,Petrol,Manual,55.0,74.0,21.1,814,4,Third Party insurance,5,Bangalore
SUV,Mahindra,Mahindra Thar,2021,17.74,24000,Petrol,Automatic,150.0,320.0,19.24556842105263,1997,1,Comprehensive,4,Bangalore
SUV,Hyundai,Hyundai Venue,2020,10.73,30535,Petrol,Manual,118.0,171.0,18.0,998,2,Third Party,5,Bangalore
Hatchback,Maruti,Maruti Alto K10,2017,3.49,20229,Petrol,Manual,67.0,90.0,23.95,998,2,Third Party,5,Bangalore
Hatchback,Maruti,Maruti Celerio,2018,4.85,35800,Petrol,Manual,67.0,90.0,21.63,998,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Wagon R,2021,5.91,11453,Petrol,Manual,81.0,113.0,20.52,1197,1,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2016,6.57,35410,Petrol,Manual,81.0,114.0,18.6,1197,1,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Alto,2009,2.1,50000,Petrol,Manual,46.0,62.0,19.7,796,1,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai Grand i10,2018,5.91,49948,Petrol,Automatic,81.0,113.0,18.9,1197,1,Third Party insurance,5,Bangalore
Hatchback,Volkswagen,Volkswagen Polo,2014,5.1,77000,Diesel,Manual,73.0,180.0,22.07,1199,2,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2017,6.58,48285,Petrol,Manual,81.0,114.0,18.6,1197,1,Comprehensive,5,Bangalore
Hatchback,Renault,Renault KWID,2021,5.14,19062,Petrol,Manual,67.0,91.0,21.74,999,1,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai i10,2011,3.3,70000,Petrol,Automatic,78.0,111.0,16.95,1197,2,Third Party insurance,5,Bangalore
Sedan,Mercedes-Benz,Mercedes-Benz E-Class,2015,22.5,120000,Diesel,Automatic,201.0,500.0,13.0,2143,2,Third Party insurance,5,Bangalore
Hatchback,Citroen,Citroen C3,2022,9.5,10000,Petrol,Manual,108.0,190.0,19.3,1199,1,Third Party insurance,5,Bangalore
Hatchback,Volkswagen,Volkswagen Polo,2014,4.95,80000,Petrol,Manual,74.0,110.0,16.47,1198,3,Third Party insurance,5,Bangalore
Sedan,Toyota,Toyota Etios,2011,3.3,87000,Petrol,Manual,88.0,132.0,17.6,1496,1,Comprehensive,5,Bangalore
Sedan,Volkswagen,Volkswagen Vento,2016,7.75,80000,Diesel,Automatic,108.0,250.0,22.15,1498,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Wagon R,2010,2.6,110000,Petrol,Manual,67.0,90.0,18.9,998,2,Third Party insurance,5,Bangalore
Sedan,Honda,Honda City,2009,3.0,90000,Petrol,Automatic,118.0,146.0,16.8,1497,3,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Swift,2019,6.5,30000,Petrol,Automatic,81.0,113.0,21.21,1197,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Alto K10,2016,3.75,56276,Petrol,Manual,67.0,90.0,23.95,998,1,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2016,6.47,27103,Petrol,Manual,81.0,114.0,18.6,1197,1,Comprehensive,5,Bangalore
Hatchback,Ford,Ford Figo,2011,2.45,80000,Diesel,Manual,68.0,160.0,20.0,1399,2,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Ignis,2017,5.91,46507,Petrol,Automatic,81.0,113.0,20.89,1197,1,Zero Dep,5,Bangalore
Hatchback,Hyundai,Hyundai Grand i10,2018,5.75,30000,Petrol,Manual,81.0,113.0,18.9,1197,1,Third Party insurance,5,Bangalore
Sedan,Maruti,Maruti Swift Dzire,2017,6.59,39070,Petrol,Manual,81.0,113.0,21.21,1197,1,Zero Dep,5,Bangalore
Sedan,Toyota,Toyota Etios,2019,7.2,120000,Diesel,Manual,67.0,170.0,23.59,1364,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Baleno,2020,7.33,22438,Petrol,Manual,81.0,113.0,21.01,1197,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Baleno,2020,8.67,21225,Petrol,Automatic,83.0,115.0,21.4,1197,2,Zero Dep,5,Bangalore
Hatchback,Honda,Honda Jazz,2019,8.5,28737,Petrol,Automatic,88.0,110.0,18.2,1199,1,Comprehensive,5,Bangalore
SUV,Renault,Renault Kiger,2021,9.2,20000,Petrol,Manual,98.0,160.0,20.5,999,1,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2019,7.2,30000,Diesel,Manual,88.0,219.0,22.54,1396,1,Third Party insurance,5,Bangalore
Hatchback,Chevrolet,Chevrolet Spark,2009,1.2,70000,Petrol,Manual,62.0,90.0,18.0,995,3,Third Party insurance,5,Bangalore
Sedan,Mercedes-Benz,Mercedes-Benz C-Class,2010,6.5,120000,Diesel,Automatic,170.0,400.0,14.84,2143,2,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2012,3.5,80000,Petrol,Manual,82.0,113.0,18.5,1197,2,Third Party insurance,5,Bangalore
Hatchback,Volkswagen,Volkswagen Polo,2010,3.6,100000,Diesel,Manual,73.0,180.0,22.07,1199,2,Third Party insurance,5,Bangalore
Sedan,Audi,Audi A6,2013,16.0,80000,Diesel,Automatic,174.0,380.0,17.68,1968,1,Third Party insurance,5,Bangalore
Sedan,Skoda,Skoda Octavia,2018,16.0,70000,Diesel,Manual,141.0,320.0,21.0,1968,1,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2013,3.81,90106,Diesel,Manual,88.0,219.0,21.9,1396,2,Third Party insurance,5,Bangalore
Sedan,Skoda,Skoda Superb,2009,4.0,50000,Petrol,Manual,157.0,250.0,13.7,1798,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Celerio,2016,3.89,138175,Petrol,Automatic,65.0,89.0,26.68,998,1,Zero Dep,5,Bangalore
Hatchback,Renault,Renault KWID,2019,4.45,55609,Petrol,Manual,67.0,91.0,23.01,999,1,Third Party insurance,5,Bangalore
Hatchback,Tata,Tata Indica V2,2015,1.86,120000,Diesel,Manual,48.0,85.0,17.88,1405,3,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Swift,2018,6.42,56410,Petrol,Automatic,88.0,113.0,22.56,1197,1,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Baleno,2022,7.25,30000,Petrol,Manual,88.0,113.0,22.35,1197,1,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2017,6.16,77593,Petrol,Manual,81.0,114.0,18.6,1197,1,Comprehensive,5,Bangalore
SUV,Honda,Honda WR-V,2018,6.94,49538,Petrol,Manual,88.0,110.0,17.5,1199,1,Third Party,5,Bangalore
Sedan,Chevrolet,Chevrolet Cruze,2012,4.0,87000,Diesel,Manual,163.0,380.0,17.3,1998,4,Third Party insurance,5,Bangalore
SUV,Mahindra,Mahindra Bolero,2016,6.5,80000,Diesel,Manual,63.0,180.0,15.96,2523,1,Third Party insurance,9,Bangalore
Hatchback,Datsun,Datsun RediGO,2018,3.0,50000,Petrol,Manual,67.0,91.0,22.5,999,2,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Swift,2012,4.0,120000,Diesel,Manual,74.0,190.0,22.9,1248,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Swift,2018,6.49,30000,Petrol,Manual,81.0,113.0,22.0,1197,1,Third Party insurance,5,Bangalore
Hatchback,Volkswagen,Volkswagen Polo,2010,3.6,100000,Diesel,Manual,73.0,180.0,22.07,1199,2,Third Party insurance,5,Bangalore
Hatchback,Volkswagen,Volkswagen Polo,2010,3.6,100000,Diesel,Manual,73.0,180.0,22.07,1199,2,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai Santro Xing,2010,2.4,120000,Petrol,Manual,62.0,96.0,17.92,1086,3,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai Grand i10 Nios,2021,8.0,30000,Petrol,Automatic,81.0,113.0,20.7,1197,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Swift,2009,3.5,100000,Diesel,Manual,79.75952380952381,193.57619047619048,17.8,1248,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Celerio,2016,4.15,41268,Petrol,Manual,65.0,89.0,25.24,998,2,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Swift,2011,3.84,60020,Petrol,Manual,88.0,113.0,22.38,1197,1,Comprehensive,5,Bangalore
SUV,Mahindra,Mahindra XUV500,2015,9.0,120000,Diesel,Manual,140.0,330.0,16.0,2179,1,Third Party insurance,7,Bangalore
Hatchback,Hyundai,Hyundai i20,2016,7.82,32148,Diesel,Manual,88.0,219.0,22.54,1396,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Celerio,2016,4.63,69565,Petrol,Automatic,65.0,89.0,26.0,998,1,Comprehensive,5,Bangalore
Hatchback,Honda,Honda Jazz,2017,6.6,60000,Diesel,Manual,98.0,200.0,27.3,1498,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Swift,2018,6.63,26007,Petrol,Automatic,88.0,113.0,22.56,1197,1,Comprehensive,5,Bangalore
SUV,Ford,Ford Ecosport,2018,9.0,30000,Petrol,Manual,123.0,170.0,18.88,999,2,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Swift,2010,3.16,134850,Petrol,Manual,88.0,113.0,22.38,1197,2,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Celerio,2015,4.36,44385,Petrol,Manual,65.0,89.0,25.24,998,1,Comprehensive,5,Bangalore
SUV,Tata,Tata New Safari,2009,2.8,120000,Diesel,Manual,138.0,320.0,13.93,2179,2,Third Party insurance,7,Bangalore
SUV,Hyundai,Hyundai Creta,2018,13.5,30000,Diesel,Manual,126.0,259.0,19.67,1582,1,Third Party insurance,5,Bangalore
Sedan,BMW,BMW 3 Series,2011,9.75,87000,Diesel,Automatic,170.0,34.0,13.2,1995,3,Third Party insurance,5,Bangalore
Sedan,Honda,Honda City,2014,5.2,102662,Petrol,Automatic,117.0,145.0,18.0,1497,1,Comprehensive,5,Bangalore
SUV,Skoda,Skoda Kushaq,2022,17.65,13802,Petrol,Automatic,113.0,178.0,17.2,999,1,Comprehensive,5,Bangalore
Hatchback,Ford,Ford Figo,2011,1.75,90000,Diesel,Manual,68.0,160.0,20.0,1399,4,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2011,4.0,40000,Petrol,Manual,80.0,11.0,17.0,1197,2,Third Party insurance,5,Bangalore
Sedan,Mercedes-Benz,Mercedes-Benz C-Class,2011,9.5,65000,Petrol,Automatic,184.0,300.0,14.74,1991,2,Third Party insurance,5,Bangalore
SUV,Kia,Kia Seltos,2020,15.95,42000,Petrol,Manual,138.0,242.0,16.1,1353,1,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai Grand i10,2017,5.93,13444,Petrol,Automatic,81.0,113.0,18.9,1197,2,Comprehensive,5,Bangalore
SUV,Mahindra,Mahindra XUV300,2019,10.57,56226,Diesel,Manual,115.0,300.0,20.0,1497,1,Third Party insurance,5,Bangalore
Hatchback,Renault,Renault KWID,2020,5.6,8733,Petrol,Automatic,67.0,91.0,22.0,999,1,Third Party,5,Bangalore
Sedan,Honda,Honda City,2020,12.64,57963,Petrol,Automatic,119.0,145.0,18.3,1498,1,Comprehensive,5,Bangalore
Sedan,Honda,Honda City,2022,16.66,19508,Petrol,Automatic,78.0,12.0,16.4,1497,1,Comprehensive,5,Bangalore
Sedan,Honda,Honda City,2018,7.89,49423,Petrol,Manual,117.0,145.0,17.4,1497,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Swift,2012,4.59,78622,Petrol,Manual,88.0,113.0,22.38,1197,2,Comprehensive,5,Bangalore
SUV,Hyundai,Hyundai Venue,2022,12.75,18025,Diesel,Manual,113.0,250.0,19.24556842105263,1493,1,Third Party insurance,5,Bangalore
Sedan,Honda,Honda City,2010,3.75,68220,Petrol,Manual,118.0,146.0,17.0,1497,1,Comprehensive,5,Bangalore
SUV,Jeep,Jeep Meridian,2022,38.75,6000,Diesel,Automatic,172.0,350.0,19.24556842105263,1956,1,Comprehensive,7,Bangalore
SUV,Mahindra,Mahindra Thar,2018,9.85,59889,Diesel,Manual,105.0,247.0,16.55,2498,1,Third Party insurance,6,Bangalore
Sedan,Jaguar,Jaguar XE,2019,37.75,11000,Diesel,Automatic,177.0,430.0,13.5,1999,2,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2019,8.25,38500,Petrol,Manual,81.0,117.0,18.6,1197,1,Comprehensive,5,Bangalore
SUV,Toyota,Toyota Fortuner,2013,16.25,120000,Diesel,Automatic,168.0,360.0,12.55,2982,2,Comprehensive,7,Bangalore
Sedan,BMW,BMW 3 Series,2016,21.98,39157,Diesel,Automatic,190.0,400.0,22.69,1995,2,Third Party insurance,5,Bangalore
MUV,Toyota,Toyota Innova,2008,8.25,162000,Diesel,Manual,102.0,20.0,12.8,2494,1,Comprehensive,7,Bangalore
Hatchback,BMW,BMW 1 Series,2013,11.75,89900,Petrol,Automatic,136.0,220.0,16.28,1598,2,Third Party,5,Bangalore
Hatchback,Maruti,Maruti Baleno,2017,6.56,58666,Petrol,Automatic,83.0,115.0,21.4,1197,1,Comprehensive,5,Bangalore
Sedan,Maruti,Maruti Swift Dzire,2018,6.12,54137,Petrol,Automatic,81.0,113.0,21.21,1197,1,Third Party insurance,5,Bangalore
SUV,Toyota,Toyota Fortuner,2011,11.95,180000,Diesel,Manual,171.0,343.0,11.5,2982,2,Comprehensive,7,Bangalore
Hatchback,Renault,Renault KWID,2019,4.36,21997,Petrol,Manual,67.0,91.0,23.01,999,1,Comprehensive,5,Bangalore
Sedan,Maruti,Maruti Swift Dzire,2020,7.21,40394,Petrol,Automatic,81.0,113.0,21.21,1197,2,Comprehensive,5,Bangalore
SUV,BMW,BMW X1,2015,17.5,49000,Diesel,Automatic,184.0,380.0,17.05,1995,2,Comprehensive,5,Bangalore
SUV,Ford,Ford Ecosport,2017,6.2,80390,Petrol,Manual,110.0,140.0,15.85,1499,1,Comprehensive,5,Bangalore
Sedan,Mercedes-Benz,Mercedes-Benz C-Class,2018,32.99,52721,Diesel,Automatic,194.0,400.0,12.6,1950,1,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Baleno,2017,6.43,55127,Petrol,Automatic,83.0,115.0,21.4,1197,1,Comprehensive,5,Bangalore
SUV,Ford,Ford Ecosport,2018,8.22,35922,Diesel,Manual,98.0,205.0,23.0,1498,2,Comprehensive,5,Bangalore
Sedan,Honda,Honda Amaze,2019,8.38,16883,Petrol,Automatic,88.0,110.0,19.0,1199,1,Third Party insurance,5,Bangalore
SUV,Renault,Renault Duster,2013,6.25,86000,Diesel,Manual,108.0,245.0,19.6,1461,2,Comprehensive,5,Bangalore
Sedan,Skoda,Skoda Octavia,2016,11.25,88000,Petrol,Automatic,178.0,250.0,15.1,1798,1,Comprehensive,5,Bangalore
SUV,Jeep,Jeep Compass,2020,25.45,34000,Diesel,Automatic,173.0,350.0,17.1,1956,1,Comprehensive,5,Bangalore
Hatchback,Skoda,Skoda Fabia,2013,3.45,110000,Diesel,Manual,75.0,180.0,20.86,1199,1,Comprehensive,5,Bangalore
SUV,Renault,Renault Duster,2020,9.99,55398,Diesel,Manual,84.0,200.0,19.87,1461,1,Third Party insurance,5,Bangalore
SUV,Ford,Ford Ecosport,2015,6.75,54000,Petrol,Automatic,120.0,149.0,14.7,1496,2,Comprehensive,5,Bangalore
Hatchback,Volkswagen,Volkswagen Polo,2019,8.75,25829,Petrol,Manual,75.0,95.0,18.78,999,1,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Celerio,2016,4.85,36913,Petrol,Manual,67.0,90.0,23.1,998,1,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2018,7.75,34000,Diesel,Manual,88.0,219.0,22.54,1396,1,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Swift,2018,6.55,42162,Petrol,Automatic,88.0,113.0,22.56,1197,2,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Celerio,2016,5.25,48041,Petrol,Automatic,67.0,90.0,23.1,998,2,Comprehensive,5,Bangalore
Hatchback,Renault,Renault KWID,2020,4.42,43285,Petrol,Manual,67.0,91.0,23.01,999,3,Third Party insurance,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2012,4.76,44326,Petrol,Manual,82.0,113.0,18.5,1197,1,Comprehensive,5,Bangalore
Hatchback,Volkswagen,Volkswagen Polo,2017,8.65,62984,Petrol,Automatic,103.0,175.0,17.21,1197,2,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Swift,2010,3.38,99276,Petrol,Manual,88.0,113.0,22.38,1197,2,Comprehensive,5,Bangalore
SUV,Hyundai,Hyundai Creta,2018,12.99,42812,Petrol,Automatic,121.0,151.0,13.0,1591,2,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Swift,2013,4.92,57770,Petrol,Manual,88.0,113.0,22.38,1197,1,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai Grand i10,2017,5.44,42220,Petrol,Automatic,81.0,113.0,18.9,1197,3,Third Party,5,Bangalore
SUV,Mahindra,Mahindra XUV500,2016,13.65,66977,Diesel,Automatic,140.0,330.0,16.0,2179,1,Third Party insurance,7,Bangalore
SUV,Hyundai,Hyundai Venue,2021,10.85,29916,Petrol,Manual,118.0,171.0,18.0,998,1,Third Party,5,Bangalore
Sedan,Skoda,Skoda Slavia,2022,14.88,10066,Petrol,Automatic,113.0,178.0,18.07,999,1,Third Party,5,Bangalore
Sedan,Skoda,Skoda Rapid,2019,9.39,39243,Petrol,Automatic,103.0,153.0,14.84,1598,2,Comprehensive,5,Bangalore
Sedan,Skoda,Skoda Rapid,2017,8.88,36309,Petrol,Automatic,103.0,153.0,14.84,1598,2,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Celerio,2014,4.25,69408,Petrol,Automatic,67.0,90.0,23.1,998,1,Third Party,5,Bangalore
Sedan,Honda,Honda Amaze,2019,8.18,12064,Petrol,Automatic,88.0,110.0,19.0,1199,2,Third Party insurance,5,Bangalore
Sedan,Mercedes-Benz,Mercedes-Benz E-Class,2013,19.44,74000,Diesel,Automatic,203.0,500.0,14.21,2143,1,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Swift,2018,6.95,18000,Petrol,Automatic,81.0,113.0,22.0,1197,1,Comprehensive,5,Bangalore
Sedan,Volkswagen,Volkswagen Vento,2010,4.75,59000,Petrol,Automatic,103.0,153.0,14.4,1598,1,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai Grand i10,2018,5.51,17190,Petrol,Manual,81.0,113.0,18.9,1197,1,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Wagon R,2013,3.52,58323,Petrol,Manual,67.0,90.0,18.9,998,1,Comprehensive,5,Bangalore
Sedan,Honda,Honda City,2015,6.0,40765,Petrol,Manual,117.0,145.0,17.8,1497,1,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Celerio,2016,4.79,58198,Petrol,Automatic,65.0,89.0,26.0,998,2,Third Party,5,Bangalore
Hatchback,Hyundai,Hyundai Grand i10,2019,5.59,42976,Petrol,Manual,81.0,113.0,18.9,1197,1,Third Party insurance,5,Bangalore
SUV,Hyundai,Hyundai Tucson,2017,15.19,104507,Diesel,Automatic,184.07142857142858,365.23015873015873,19.24556842105263,1995,1,Comprehensive,7,Bangalore
Sedan,Maruti,Maruti Swift Dzire,2012,4.09,44074,Petrol,Manual,88.0,113.0,22.41,1197,1,Third Party,5,Bangalore
Hatchback,Maruti,Maruti Wagon R,2017,5.39,21000,Petrol,Automatic,67.0,90.0,21.79,998,1,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Swift,2021,7.37,14089,Petrol,Manual,88.0,113.0,22.38,1197,1,Third Party,5,Bangalore
Sedan,Honda,Honda City,2014,5.26,94378,Diesel,Manual,98.0,200.0,26.0,1498,2,Comprehensive,5,Bangalore
SUV,Mahindra,Mahindra XUV500,2016,13.5,71000,Diesel,Automatic,140.0,330.0,16.0,2179,1,Comprehensive,7,Bangalore
SUV,Toyota,Toyota Fortuner,2018,31.94,174000,Diesel,Manual,174.0,420.0,14.24,2755,1,Comprehensive,7,Bangalore
Hatchback,Hyundai,Hyundai Grand i10,2016,5.85,58000,Petrol,Automatic,82.0,114.0,18.9,1197,2,Comprehensive,5,Bangalore
SUV,Audi,Audi Q3,2014,14.95,113000,Diesel,Automatic,174.0,380.0,15.73,1968,2,Third Party insurance,5,Bangalore
SUV,Volvo,Volvo XC 90,2010,10.9,170402,Diesel,Automatic,200.0,420.0,11.1,2400,2,Comprehensive,7,Bangalore
Sedan,Audi,Audi A4,2016,21.0,30000,Diesel,Automatic,187.0,400.0,18.25,1968,2,Comprehensive,5,Bangalore
Sedan,Maruti,Maruti Swift Dzire,2014,5.9,59000,Petrol,Manual,85.0,114.0,19.1,1197,1,Comprehensive,5,Bangalore
SUV,Mahindra,Mahindra XUV500,2021,18.99,25883,Diesel,Manual,152.0,360.0,15.1,2179,1,Comprehensive,7,Bangalore
SUV,Volkswagen,Volkswagen Taigun,2021,15.45,32746,Petrol,Manual,113.0,178.0,20.08,999,1,Comprehensive,5,Bangalore
Sedan,Skoda,Skoda Octavia,2017,18.95,35038,Petrol,Automatic,177.0,250.0,14.7,1798,1,Comprehensive,5,Bangalore
Hatchback,Ford,Ford Freestyle,2018,5.4,38995,Petrol,Manual,94.0,120.0,19.0,1194,3,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Swift,2013,4.91,61102,Petrol,Manual,88.0,113.0,22.38,1197,1,Comprehensive,5,Bangalore
SUV,Skoda,Skoda Yeti,2012,6.25,132000,Diesel,Manual,138.0,320.0,17.67,1968,2,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti S-Presso,2021,4.36,52288,Petrol,Manual,65.0,89.0,21.7,998,1,Third Party insurance,5,Bangalore
Hatchback,Honda,Honda Jazz,2017,6.16,69054,Petrol,Automatic,88.0,110.0,19.0,1199,1,Comprehensive,5,Bangalore
SUV,Renault,Renault Duster,2015,6.75,67000,Petrol,Manual,102.0,145.0,13.24,1598,1,Comprehensive,5,Bangalore
Sedan,Maruti,Maruti Swift Dzire,2015,5.33,51745,Diesel,Manual,74.0,190.0,26.59,1248,2,Comprehensive,5,Bangalore
Convertibles,Audi,Audi A3 cabriolet,2015,34.95,22000,Petrol,Automatic,177.0,250.0,16.6,1798,1,Comprehensive,4,Bangalore
Hatchback,Hyundai,Hyundai Grand i10,2017,6.26,11268,Petrol,Manual,81.0,113.0,18.9,1197,2,Comprehensive,5,Bangalore
Hatchback,Tata,Tata Tiago,2020,6.32,24357,Petrol,Manual,84.0,113.0,20.09,1199,1,Zero Dep,5,Bangalore
MUV,Toyota,Toyota Innova Crysta,2016,17.75,157000,Diesel,Manual,147.0,343.0,13.68,2393,2,Comprehensive,8,Bangalore
Sedan,Honda,Honda City,2018,10.0,9982,Petrol,Manual,118.0,146.0,17.0,1497,1,Comprehensive,5,Bangalore
Sedan,Audi,Audi A3,2020,28.75,22000,Diesel,Automatic,143.0,320.0,20.38,1968,1,Comprehensive,5,Bangalore
SUV,Hyundai,Hyundai Venue,2020,10.85,27000,Petrol,Manual,118.0,171.0,18.0,998,1,Comprehensive,5,Bangalore
Sedan,BMW,BMW 3 Series,2017,22.75,68000,Diesel,Automatic,187.0,400.0,22.69,1995,2,Comprehensive,5,Bangalore
SUV,Hyundai,Hyundai Venue,2022,13.65,19000,Petrol,Automatic,118.0,172.0,18.15,998,1,Comprehensive,5,Bangalore
SUV,BMW,BMW X1,2012,15.5,41000,Diesel,Automatic,184.0,380.0,17.05,1995,2,Third Party insurance,5,Bangalore
SUV,BMW,BMW X1,2018,30.25,49000,Diesel,Automatic,188.0,400.0,20.68,1995,1,Comprehensive,5,Bangalore
Sedan,BMW,BMW 5 Series,2018,42.75,45000,Diesel,Automatic,187.0,400.0,20.37,1995,2,Comprehensive,5,Bangalore
SUV,BMW,BMW X5,2016,44.5,75000,Diesel,Automatic,245.0,540.0,11.7,2993,2,Comprehensive,5,Bangalore
Hatchback,Maruti,Maruti Celerio,2015,4.83,39613,Petrol,Manual,65.0,89.0,25.24,998,1,Third Party,5,Bangalore
Sedan,Honda,Honda City,2018,10.07,68906,Petrol,Automatic,117.0,145.0,18.0,1497,2,Third Party insurance,5,Bangalore
